,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,141.0,0.868,0.8623,141.0,0.8612,0.8613,0.861,0.8612
1,261.0,0.9448,0.9026,261.0,0.8335,0.8338,0.8332,0.8335
2,168.0,0.8788,0.8768,168.0,0.8379,0.8381,0.8377,0.8379
3,260.0,0.9294,0.8936,260.0,0.8367,0.837,0.8365,0.8369
4,289.0,0.933,0.8964,289.0,0.835,0.8352,0.8348,0.8348
0,223.8,0.9108,0.8863,223.8,0.8409,0.8411,0.8407,0.8409
