,accuracy,val_accuracy,test_accuracy,epoch,recalls,precisions,f1
0,0.7344,0.7251,0.7395,129.0,0.7395,0.7395,0.7395
1,0.754,0.7509,0.7275,140.0,0.7275,0.7275,0.7275
2,0.7326,0.7294,0.7455,77.0,0.7455,0.7455,0.7455
3,0.7597,0.7496,0.6883,77.0,0.6883,0.6883,0.6883
4,0.7479,0.7361,0.7576,180.0,0.7576,0.7576,0.7576
0,0.7457,0.7382,0.7317,120.6,0.7317,0.7317,0.7317
