,accuracy,val_accuracy,test_accuracy,epoch,recalls,precisions,f1
0,0.7952,0.7956,0.8081,101.0,0.8081,0.8081,0.8081
1,0.8181,0.8265,0.7809,436.0,0.7809,0.7809,0.7809
2,0.7677,0.7732,0.7915,37.0,0.7915,0.7915,0.7915
3,0.8315,0.8359,0.7925,456.0,0.7925,0.7925,0.7925
4,0.827,0.8339,0.8177,475.0,0.8177,0.8177,0.8177
0,0.8079,0.813,0.7981,301.0,0.7981,0.7981,0.7981
