,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,92.0,0.7349,0.746,92.0,0.7438,0.7438,0.7438,0.7438
1,5.0,0.7116,0.7231,5.0,0.7073,0.7073,0.7073,0.7073
2,7.0,0.6954,0.7345,7.0,0.7196,0.7196,0.7196,0.7196
3,20.0,0.7286,0.7273,20.0,0.6936,0.6936,0.6936,0.6936
4,30.0,0.7263,0.7453,30.0,0.7452,0.7452,0.7452,0.7452
0,30.8,0.7193,0.7353,30.8,0.7219,0.7219,0.7219,0.7219
