,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,96.0,0.8609,0.8683,96.0,0.8633,0.8634,0.8631,0.8632
1,73.0,0.8777,0.8853,73.0,0.8521,0.8524,0.8518,0.8521
2,168.0,0.8462,0.8289,168.0,0.8341,0.8343,0.8338,0.8339
3,1.0,0.7262,0.7416,1.0,0.7033,0.7035,0.7032,0.7032
4,134.0,0.8782,0.8798,134.0,0.8556,0.8558,0.8554,0.8555
0,94.4,0.8378,0.8408,94.4,0.8217,0.8219,0.8215,0.8216
