,accuracy,val_accuracy,test_accuracy,epoch,recalls,precisions,f1
0,0.5798,0.6317,0.5619,7.0,0.562,0.5618,0.5619
1,0.9133,0.895,0.8525,184.0,0.8528,0.8522,0.8525
2,0.8858,0.8825,0.8583,353.0,0.8586,0.8582,0.8584
3,0.8893,0.8929,0.8565,301.0,0.8567,0.8563,0.8565
4,0.8892,0.8851,0.848,394.0,0.8483,0.8479,0.8481
0,0.8315,0.8375,0.7955,247.8,0.7957,0.7953,0.7955
