,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,7.0,0.6675,0.6698,7.0,0.6642,0.6643,0.6642,0.6643
1,9.0,0.6805,0.6849,9.0,0.6672,0.6673,0.6672,0.6673
2,8.0,0.6787,0.6871,8.0,0.6767,0.6768,0.6766,0.6767
3,10.0,0.6925,0.6987,10.0,0.6411,0.6411,0.641,0.6411
4,10.0,0.6721,0.6767,10.0,0.6671,0.6672,0.667,0.6672
0,8.8,0.6783,0.6835,8.8,0.6633,0.6634,0.6632,0.6633
