,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,253.0,0.8652,0.8593,253.0,0.8456,0.8457,0.8454,0.8455
1,4.0,0.6294,0.6935,4.0,0.7031,0.7034,0.7029,0.703
2,112.0,0.8853,0.8796,112.0,0.8545,0.8547,0.8543,0.8544
3,156.0,0.9009,0.8751,156.0,0.8487,0.8489,0.8484,0.8487
4,280.0,0.9258,0.887,280.0,0.828,0.8282,0.8278,0.828
0,161.0,0.8413,0.8389,161.0,0.816,0.8162,0.8158,0.8159
