,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,191.0,0.792,0.7978,191.0,0.8185,0.8186,0.8184,0.8185
1,99.0,0.8025,0.8094,99.0,0.8107,0.811,0.8104,0.8109
2,141.0,0.7906,0.8054,141.0,0.8115,0.8117,0.8113,0.8114
3,113.0,0.7977,0.7995,113.0,0.7642,0.7643,0.764,0.7641
4,108.0,0.8022,0.8244,108.0,0.7757,0.7759,0.7755,0.7756
0,130.4,0.797,0.8073,130.4,0.7961,0.7963,0.7959,0.7961
