,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,191.0,0.9118,0.8884,191.0,0.8654,0.8656,0.8653,0.8654
1,295.0,0.9447,0.9,295.0,0.8435,0.8438,0.8432,0.8435
2,10.0,0.6483,0.6819,10.0,0.6556,0.6558,0.6554,0.6556
3,2.0,0.6465,0.6858,2.0,0.6434,0.6436,0.6433,0.6434
4,220.0,0.9334,0.8972,220.0,0.8276,0.8278,0.8274,0.8276
0,143.6,0.8169,0.8107,143.6,0.7671,0.7673,0.7669,0.7671
