,accuracy,val_accuracy,test_accuracy,epoch,recalls,precisions,f1
0,0.7512,0.7563,0.772,43.0,0.772,0.772,0.772
1,0.7984,0.7934,0.7728,177.0,0.7728,0.7728,0.7728
2,0.7604,0.7754,0.7779,66.0,0.7779,0.7779,0.7779
3,0.7937,0.8082,0.7599,326.0,0.7599,0.7599,0.7599
4,0.7437,0.7565,0.759,43.0,0.759,0.759,0.759
0,0.7695,0.778,0.7683,131.0,0.7683,0.7683,0.7683
