,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,24.0,0.7595,0.7672,24.0,0.7583,0.7583,0.7583,0.7583
1,28.0,0.7617,0.7655,28.0,0.7493,0.7493,0.7492,0.7493
2,19.0,0.7699,0.7684,19.0,0.7634,0.7635,0.7633,0.7634
3,48.0,0.7752,0.7776,48.0,0.7431,0.7432,0.743,0.7431
4,26.0,0.7739,0.7805,26.0,0.7562,0.7563,0.756,0.7562
0,29.0,0.768,0.7718,29.0,0.754,0.7541,0.7539,0.7541
