,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,13.0,0.7076,0.7174,13.0,0.7078,0.7079,0.7078,0.7078
1,28.0,0.7206,0.7253,28.0,0.7094,0.7095,0.7093,0.7094
2,14.0,0.7145,0.7226,14.0,0.7343,0.7344,0.7342,0.7343
3,27.0,0.7201,0.7274,27.0,0.6791,0.6792,0.679,0.6792
4,21.0,0.7258,0.7286,21.0,0.7039,0.704,0.7038,0.704
0,20.6,0.7177,0.7243,20.6,0.7069,0.707,0.7068,0.7069
