,accuracy,val_accuracy,test_accuracy,epoch,recalls,precisions,f1
0,0.7607,0.7612,0.7534,26.0,0.7534,0.7534,0.7534
1,0.799,0.8052,0.7664,119.0,0.7664,0.7664,0.7664
2,0.7483,0.7439,0.7582,18.0,0.7582,0.7582,0.7582
3,0.7644,0.7802,0.7209,6.0,0.7209,0.7209,0.7209
4,0.795,0.8111,0.7805,54.0,0.7804,0.7805,0.7805
0,0.7735,0.7803,0.7559,44.6,0.7559,0.7559,0.7559
