,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,2.0,0.6322,0.6471,2.0,0.597,0.5971,0.5969,0.597
1,8.0,0.6514,0.6448,8.0,0.6766,0.6768,0.6763,0.6765
2,10.0,0.6546,0.674,10.0,0.5995,0.5996,0.5993,0.5995
3,191.0,0.8883,0.8628,191.0,0.8265,0.8267,0.8263,0.8267
4,1.0,0.6291,0.6653,1.0,0.7363,0.7365,0.7361,0.7363
0,42.4,0.6911,0.6988,42.4,0.6872,0.6873,0.687,0.6872
