epoch,accuracy,loss,val_accuracy,val_loss
0,0.5594565272331238,0.6892936825752258,0.5984783172607422,0.6613887548446655
1,0.6291748285293579,0.6448148488998413,0.6653985977172852,0.6143311262130737
2,0.6313270926475525,0.643304705619812,0.6000345945358276,0.6751376390457153
3,0.5951996445655823,0.671325147151947,0.5931177735328674,0.6672155857086182
4,0.5684691667556763,0.6844947338104248,0.598824143409729,0.6688905358314514
5,0.5524616837501526,0.6883121132850647,0.5301746726036072,0.6977911591529846
6,0.5327453017234802,0.6971493363380432,0.5239495038986206,0.6969591379165649
7,0.5356662273406982,0.6962279677391052,0.5344976782798767,0.6981420516967773
8,0.5377801060676575,0.6951670050621033,0.5327684879302979,0.6955068707466125
9,0.5473499894142151,0.6929813623428345,0.5445270538330078,0.6905167698860168
10,0.5301510691642761,0.7025240063667297,0.5211827754974365,0.6974896788597107
11,0.5388562083244324,0.6952493786811829,0.529137134552002,0.7011231184005737
12,0.5380491018295288,0.6954118609428406,0.5280995965003967,0.6962313652038574
13,0.5416234135627747,0.6947041749954224,0.5353622436523438,0.6942294836044312
14,0.5471962690353394,0.6930708885192871,0.5327684879302979,0.6948878169059753
15,0.5490795373916626,0.6920951008796692,0.5433166027069092,0.6925008296966553
16,0.5492717027664185,0.6932747960090637,0.5306934118270874,0.6939353346824646
17,0.556708574295044,0.6892160177230835,0.5811862349510193,0.6763415932655334
18,0.5412583351135254,0.6967847347259521,0.5161680579185486,0.6945976614952087
19,0.5411622524261475,0.6932737827301025,0.5315580368041992,0.6921294331550598
20,0.5534032583236694,0.6892755031585693,0.5647587776184082,0.6892606019973755
21,0.5770206451416016,0.6793715357780457,0.5927719473838806,0.6691869497299194
22,0.5902032852172852,0.6738582253456116,0.5606086850166321,0.6810697913169861
23,0.6218340396881104,0.645304799079895,0.6430917978286743,0.6223259568214417
24,0.6460663080215454,0.6269590258598328,0.6318519711494446,0.6305951476097107
25,0.6518505811691284,0.629261314868927,0.6121390461921692,0.6573455333709717
26,0.5470041036605835,0.6891515254974365,0.5313851237297058,0.6925075650215149
27,0.5508666634559631,0.688858687877655,0.5668337941169739,0.6841570734977722
28,0.6003497242927551,0.6666823625564575,0.6079889535903931,0.6562102437019348
29,0.6196433305740356,0.6546902656555176,0.6164620518684387,0.6533761620521545
30,0.6258503198623657,0.6509857177734375,0.6081618666648865,0.6532390117645264
31,0.5733502507209778,0.6848137974739075,0.5803216099739075,0.6826647520065308
32,0.6154733300209045,0.6626272797584534,0.6413626074790955,0.6377120018005371
33,0.6353434324264526,0.6450899839401245,0.6225142478942871,0.6467170119285583
34,0.5821707248687744,0.6724380850791931,0.5557668805122375,0.6873838901519775
35,0.5884161591529846,0.6808884143829346,0.5772090554237366,0.6784955263137817
36,0.6034820675849915,0.6663527488708496,0.6086806058883667,0.6587493419647217
37,0.6046158671379089,0.6649051308631897,0.6050493121147156,0.6574183106422424
38,0.5858026742935181,0.6702651381492615,0.6128306984901428,0.6546699404716492
39,0.627272367477417,0.6495852470397949,0.6187100410461426,0.6458335518836975
40,0.6091701984405518,0.6550707221031189,0.5836071372032166,0.6705281138420105
41,0.6238325834274292,0.6433855295181274,0.6268372535705566,0.6337125897407532
42,0.606095552444458,0.655371904373169,0.5600899457931519,0.6821947693824768
43,0.5912602543830872,0.66389000415802,0.617499589920044,0.6400835514068604
44,0.6310772895812988,0.6395421028137207,0.6282206177711487,0.6319193840026855
45,0.6422230005264282,0.6310821771621704,0.5842987895011902,0.665893018245697
46,0.6399746537208557,0.631473958492279,0.6353104114532471,0.6255518794059753
47,0.6427226066589355,0.6348957419395447,0.6340999603271484,0.6333693861961365
48,0.6077097654342651,0.6552278399467468,0.5951927900314331,0.6632985472679138
49,0.6098812222480774,0.6534102559089661,0.6114473342895508,0.6454030871391296
50,0.6245244145393372,0.6401416063308716,0.6242434978485107,0.6342996954917908
