,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,272.0,0.9182,0.8923,272.0,0.8701,0.8703,0.87,0.87
1,213.0,0.9073,0.8888,213.0,0.855,0.8553,0.8547,0.8552
2,302.0,0.9661,0.9209,302.0,0.8434,0.8436,0.8432,0.8433
3,323.0,0.9681,0.9206,323.0,0.8487,0.8489,0.8484,0.8486
4,2.0,0.6858,0.7266,2.0,0.7249,0.7251,0.7248,0.725
0,222.4,0.8891,0.8698,222.4,0.8284,0.8286,0.8282,0.8284
