epoch,accuracy,loss,val_accuracy,val_loss
0,0.5437564849853516,0.6865628361701965,0.5344976782798767,0.7041904926300049
1,0.5517314076423645,0.6977078914642334,0.5652775168418884,0.6884332299232483
2,0.5544794201850891,0.6910777688026428,0.5424520373344421,0.6945301294326782
3,0.5731772780418396,0.6804550290107727,0.6211308836936951,0.6490843892097473
4,0.5607056617736816,0.6763831377029419,0.5751340389251709,0.6713137626647949
5,0.601368248462677,0.6542221903800964,0.6014179587364197,0.6499223113059998
6,0.6108036637306213,0.6490244269371033,0.6112744212150574,0.6606577038764954
7,0.604519784450531,0.661066472530365,0.5887947678565979,0.6734391450881958
8,0.559994637966156,0.6829939484596252,0.5957115888595581,0.6806851029396057
9,0.6012721657752991,0.648223876953125,0.5735777020454407,0.6705743670463562
10,0.5738114714622498,0.6715484857559204,0.5652775168418884,0.67936110496521
11,0.5887620449066162,0.6597470641136169,0.6031471490859985,0.6510618329048157
12,0.5741573572158813,0.6837030649185181,0.5813591480255127,0.6804366707801819
13,0.5508090257644653,0.6958519220352173,0.5941553115844727,0.6758365035057068
14,0.5345324277877808,0.6998105049133301,0.5296558737754822,0.7041318416595459
15,0.523578941822052,0.6966173648834229,0.5571502447128296,0.6930570602416992
16,0.5369345545768738,0.6907080411911011,0.5727131366729736,0.6835903525352478
17,0.5304008722305298,0.6986709237098694,0.5317309498786926,0.6970096826553345
18,0.5268650054931641,0.6966121792793274,0.5317309498786926,0.6942348480224609
19,0.5390676259994507,0.6927596926689148,0.5320767760276794,0.693414568901062
20,0.5425650477409363,0.6915464997291565,0.5547294020652771,0.6824550628662109
21,0.541969358921051,0.6941100358963013,0.5268891453742981,0.6932993531227112
22,0.5393174290657043,0.6915888786315918,0.5329414010047913,0.688180148601532
23,0.5522502660751343,0.6813478469848633,0.5721943378448486,0.6800594925880432
24,0.562915563583374,0.6839267611503601,0.5654504299163818,0.6875404715538025
25,0.5186786651611328,0.6954345107078552,0.5374373197555542,0.693496584892273
26,0.5242322683334351,0.6919612288475037,0.5225661396980286,0.6891376972198486
27,0.5397209525108337,0.680794358253479,0.5507522225379944,0.6718593239784241
28,0.5429109334945679,0.6830543875694275,0.5657963156700134,0.6782640814781189
29,0.5616472363471985,0.6742819547653198,0.5720214247703552,0.6718147397041321
30,0.5299972891807556,0.6879207491874695,0.5178973078727722,0.6871118545532227
31,0.5330719947814941,0.6801436543464661,0.5562856793403625,0.6843103766441345
