,index,accuracy,val_accuracy,epoch,f1,recalls,precisions,test_accuracy
0,143.0,0.8629,0.8561,143.0,0.8494,0.8495,0.8492,0.8495
1,122.0,0.8653,0.8563,122.0,0.835,0.8353,0.8347,0.8349
2,3.0,0.5731,0.6211,3.0,0.6469,0.647,0.6467,0.6469
3,274.0,0.8677,0.8602,274.0,0.8439,0.8441,0.8437,0.8438
4,236.0,0.8445,0.8478,236.0,0.8174,0.8176,0.8172,0.8176
0,155.6,0.8027,0.8083,155.6,0.7985,0.7987,0.7983,0.7985
